epub	1.1.1	r"/"
pnet_macros	0.20.0	r"^u([0-9]+)(be|le|he)?$"
iban_validate	1.0.1	r"^[A-Z]{2}\d{2}[A-Z\d]{1,30}$"
markifier	0.1.0	r".*\[(?P<percent>.+)%.*\].*"
magnet_more	0.0.1	r"(.+?)(\[.*?\])?"
magnet_app	0.0.1	r":(?P<k>[a-zA-Z_]+)"
yubibomb	0.2.0	r"^\d{6}(?:\s*,\s*\d{6})*$"
yubirs	0.1.0	r"^[jxe.uidchtnbpygk]{32,48}$"
yubirs	0.1.0	r"^[cbdefghijklnrtuv]{32,48}$"
multirust-rs	0.0.4	r"[\\/]([^\\/?]+)(\?.*)?$"
ffi_utils	0.5.0	r"^pub use (ffi(::.+)*)::\*;$"
ffi_utils	0.5.0	r"\bc_char\b"
ffi_utils	0.5.0	r"\bc_void\b"
hueclient	0.3.2	"\"[a-z]*\":null"
hueclient	0.3.2	",+"
hueclient	0.3.2	",\\}"
hueclient	0.3.2	"\\{,"
aerial	0.1.0	r"[a-zA-Z_\$][a-zA-Z_0-9]*"
aerial	0.1.0	r"thi[sng]+"
rvue	0.1.0	r"(.+)\s+\((.+?)\)"
rvue	0.1.0	r"([\d\.]+)\s*out\s*of\s*([\d\.]+)"
rvue	0.1.0	r"^([\d\.]+)\s*(?:\(\))?$"
rvue	0.1.0	r"([\d\.]+)\s*Points\s*Possible"
rvue	0.1.0	r"([\d\.]+)\s*/\s*([\d\.]+)"
migrant_lib	0.19.2	r"[^a-z0-9-]+"
migrant_lib	0.19.2	r"[0-9]{14}_[a-z0-9-]+"
migrant_lib	0.19.2	r"([0-9]{14}_)?[a-z0-9-]+"
minifier	0.0.3	r">\s+<"
minifier	0.0.3	r"\s{2,}|[\r\n]"
minifier	0.0.3	r"<(style|script)[\w|\s].*?>"
minifier	0.0.3	"<!--(.|\n)*?-->"
minifier	0.0.3	r"<\w.*?>"
minifier	0.0.3	r" \s+|\s +"
minifier	0.0.3	r"\w\s+\w"
minifier	0.0.3	r"'\s+>"
minifier	0.0.3	r"\d\s+>"
ggp-rs	0.1.2	r"(?P<relation>\([^)]+\))|(?P<prop>[a-zA-Z0-9_]+)"
ggp-rs	0.1.2	r"\((.*)\)."
poe-superfilter	0.2.0	"[A-Za-z0-9_]"
poke-a-mango	0.5.0	r"(\d+)x(\d+)"
pop3-rs	0.1.0	r"(?P<nmsg>\d+) (?P<size>\d+)"
pop3-rs	0.1.0	r"(?P<msgid>\d+) (?P<uidl>[\x21-\x7E]{1,70})"
pop3-rs	0.1.0	r"(<.*>)\r\n$"
pop3-rs	0.1.0	r"^(?P<status>\+OK|-ERR) (?P<statustext>.*)"
pop3	1.0.6	r"^\.\r\n$"
pop3	1.0.6	r"\+OK(.*)"
pop3	1.0.6	r"-ERR(.*)"
pop3	1.0.6	r"\+OK (\d+) (\d+)\r\n"
pop3	1.0.6	r"(\d+) ([\x21-\x7e]+)\r\n"
pop3	1.0.6	r"\+OK (\d+) ([\x21-\x7e]+)\r\n"
pop3	1.0.6	r"(\d+) (\d+)\r\n"
pop3	1.0.6	r"\+OK (\d+) (\d+)\r\n"
polk	1.1.2	"github:(\\w+)/?(\\w+)?"
geochunk	0.1.5	"^[0-9]{5}"
generic-dns-update	1.1.4	r"((?:(?:0|1[\d]{0,2}|2(?:[0-4]\d?|5[0-5]?|[6-9])?|[3-9]\d?)\.){3}(?:0|1[\d]{0,2}|2(?:[0-4]\d?|5[0-5]?|[6-9])?|[3-9]\d?))"
generic-dns-update	1.1.4	r"((([0-9A-Fa-f]{1,4}:){7}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){6}:[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){5}:([0-9A-Fa-f]{1,4}:)?[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){4}:([0-9A-Fa-f]{1,4}:){0,2}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){3}:([0-9A-Fa-f]{1,4}:){0,3}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){2}:([0-9A-Fa-f]{1,4}:){0,4}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){6}((\d((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\d)\.){3}(\d((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\d))|(([0-9A-Fa-f]{1,4}:){0,5}:((\d((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\d)\.){3}(\d((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\d))|(::([0-9A-Fa-f]{1,4}:){0,5}((\d((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\d)\.){3}(\d((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\d))|([0-9A-Fa-f]{1,4}::([0-9A-Fa-f]{1,4}:){0,5}[0-9A-Fa-f]{1,4})|(::([0-9A-Fa-f]{1,4}:){0,6}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){1,7}:))"
generic-dns-update	1.1.4	r"<value><string>([0-9.]*)</string></value>"
generic-dns-update	1.1.4	r"<int>([0-9]+)</int>"
generic-dns-update	1.1.4	r"<int>([0-9]+)</int>"
generic-dns-update	1.1.4	r"<boolean>([0-1]*)</boolean>"
generate-nix-pkg	0.3.0	r"(\d*)\.(\d*)\.(\d*)(-(\S*))?"
generate-nix-pkg	0.3.0	r"^(\S*) (\d*)\.(\d*)\.(\d*)(-(\S*))?"
genact	0.4.0	r"arch/([a-z0-9_])+/"
genact	0.4.0	r"arch/([a-z0-9_])+/"
cron_rs	0.1.6	r"^\s*((\*(/\d+)?)|[0-9-,/]+)(\s+((\*(/\d+)?)|[0-9-,/]+)){4,5}\s*$"
sysfs_gpio	0.5.1	r"^/sys/.*?/gpio/gpio(\d+)$"
symbolic-debuginfo	2.0.7	"__?hidden#\\d+_"
symbolic-minidump	2.0.7	r"^Linux ([^ ]+) (.*) \w+(?: GNU/Linux)?$"
graphql-idl-parser	0.1.1	"^(?u:\"
graphql-idl-parser	0.1.1	"^(?u:\\#)(?u:[\t-\r - \u{85}-\u{85}\u{a0}-\u{a0}\u{1680}-\u{1680}\u{2000}-\u{200a}\u{2028}-\u{2029}\u{202f}-\u{202f}\u{205f}-\u{205f}\u{3000}-\u{3000}])*(?u:.)+"
graphql-idl-parser	0.1.1	"^(?u:=)(?u:[\t-\r - \u{85}-\u{85}\u{a0}-\u{a0}\u{1680}-\u{1680}\u{2000}-\u{200a}\u{2028}-\u{2029}\u{202f}-\u{202f}\u{205f}-\u{205f}\u{3000}-\u{3000}])*(?u:.)+"
graphql-idl-parser	0.1.1	"^(?u:[A-Z_-_a-z])(?u:[0-9A-Z_-_a-z])*"
graphql-idl-parser	0.1.1	"^(?u:!)"
graphql-idl-parser	0.1.1	"^(?u:\\()"
graphql-idl-parser	0.1.1	"^(?u:\\))"
graphql-idl-parser	0.1.1	"^(?u:,)"
graphql-idl-parser	0.1.1	"^(?u::)"
graphql-idl-parser	0.1.1	"^(?u:@)"
graphql-idl-parser	0.1.1	"^(?u:\\[)"
graphql-idl-parser	0.1.1	"^(?u:\\])"
graphql-idl-parser	0.1.1	"^(?u:enum)"
graphql-idl-parser	0.1.1	"^(?u:implements)"
graphql-idl-parser	0.1.1	"^(?u:input)"
graphql-idl-parser	0.1.1	"^(?u:interface)"
graphql-idl-parser	0.1.1	"^(?u:scalar)"
graphql-idl-parser	0.1.1	"^(?u:type)"
graphql-idl-parser	0.1.1	"^(?u:union)"
graphql-idl-parser	0.1.1	"^(?u:\\{)"
graphql-idl-parser	0.1.1	"^(?u:\\})"
phonenumber	0.1.0+8.7.0	r"[\d]+(?:[~\x{2053}\x{223C}\x{FF5E}][\d]+)?"
phonenumber	0.1.0+8.7.0	r"[, \[\]]"
phonenumber	0.1.0+8.7.0	r"[\\/] *x"
phonenumber	0.1.0+8.7.0	r"[[\P{N}&&\P{L}]&&[^#]]+$"
phonenumber	0.1.0+8.7.0	r"(?:.*?[A-Za-z]){3}.*"
phonenumber	0.1.0+8.7.0	r"(\D+)"
phonenumber	0.1.0+8.7.0	r"(\$\d)"
phonenumber	0.1.0+8.7.0	r"\(?\$1\)?"
phone_number	0.1.0	r"\D"
phone_number	0.1.0	r"^0+"
phone_number	0.1.0	r"^89"
phone_number	0.1.0	r"^8+"
phile	0.1.4	r"^ *(\^_*\^) *$"
phile	0.1.4	r"^[_\p{XID_Start}]$"
phile	0.1.4	r"^\p{XID_Continue}$"
uritemplate	0.1.2	"%25(?P<hex>[0-9a-fA-F][0-9a-fA-F])"
urdf-rs	0.4.2	"^package://(\\w+)/"
tsm-sys	0.1.0	r"hello world"
deb-version	0.1.0	"^(?:(?:(?:\\d+:).+)|(?:[^:]+))$"
debcargo	1.3.0	r"(?:[Cc]opyright|Â©)(?:\s|[Â©:,()Cc<])*\b\d{4}\b.*$"
feaders	0.2.0	r"^.*\.h$"
feaders	0.2.0	r"^.*\.c$"
feaders	0.2.0	r"^.*\.hpp$"
feaders	0.2.0	r"^.*\.cc$"
feaders	0.2.0	r"^.*\.cpp$"
hyperscan	0.1.5	r"CPtr\(\w+\)"
hyperscan	0.1.5	r"^Version:\s(\d\.\d\.\d)\sFeatures:\s+(\w+)?\sMode:\s(\w+)$"
hyperscan	0.1.5	r"RawDatabase<Block>\{db: \w+\}"
hyperscan	0.1.5	r"RawSerializedDatabase\{p: \w+, len: \d+\}"
afsort	0.2.0	r".*"
afsort	0.2.0	r".*"
afsort	0.2.0	r".*"
afsort	0.2.0	r".*"
afsort	0.2.0	r".*"
afsort	0.2.0	r".*"
afsort	0.2.0	r"^[a-z]+$"
afsort	0.2.0	r"^[a-z]+$"
tin-summer	1.21.1	r"(\.git|\.pijul|_darcs|\.hg)$"
tin-drummer	1.0.1	r".*?\.(a|la|lo|o|ll|keter|bc|dyn_o|d|rlib|crate|min\.js|hi|dyn_hi|S|jsexe|webapp|js\.externs|ibc|toc|aux|fdb_latexmk|fls|egg-info|whl|js_a|js_hi|jld|ji|js_o|so.*|dump-.*|vmb|crx|orig|elmo|elmi|pyc|mod|p_hi|p_o|prof|tix)$"
tin-drummer	1.0.1	r".*?\.(stats|conf|h|out|cache.*|dat|pc|info|\.js)$"
tin-drummer	1.0.1	r".*?\.(exe|a|la|o|ll|keter|bc|dyn_o|d|rlib|crate|min\.js|hi|dyn_hi|jsexe|webapp|js\.externs|ibc|toc|aux|fdb_latexmk|fls|egg-info|whl|js_a|js_hi|jld|ji|js_o|so.*|dump-.*|vmb|crx|orig|elmo|elmi|pyc|mod|p_hi|p_o|prof|tix)$"
tin-drummer	1.0.1	r".*?\.(stats|conf|h|out|cache.*|\.js)$"
tin-drummer	1.0.1	r"(\.git|\.pijul|_darcs|\.hg)$"
tin-drummer	1.0.1	r".*?\.(dyn_o|out|d|hi|dyn_hi|dump-.*|p_hi|p_o|prof|tix)$"
tin-drummer	1.0.1	r".*?\.(ibc)$"
tin-drummer	1.0.1	r"\.stack-work|dist-newstyle"
timmy	0.3.0	r"_NET_WM_PID\(CARDINAL\) = (\d+)"
timmy	0.3.0	r"today|yesterday|now"
timmy	0.3.0	r"(?P<day>\d{1,2})/(?P<month>\d{1,2})(/(?P<year>\d{4}|\d{2}))?"
timmy	0.3.0	r"(?P<n>\d+) (days?|ds?)(?P<ago>( ago)?)"
timmy	0.3.0	r"(?P<hr>\d{2}):(?P<mins>\d{2})"
tinfo	0.5.0	r"^(\d+): \d+ windows \(.*\) \[\d+x\d+\]( \(attached\))?"
tinfo	0.5.0	r"^(\d+):(\d+): (.*) \((\d+) panes\) \[(\d+)x(\d+)\]"
timespan	0.0.4	r"(?:\\\{start\\\}|\\\{end\\\})"
timespan	0.0.4	r"(.*)\s+-\s+(.*)"
timespan	0.0.4	r"(.*)\s+(\w+)$"
timespan	0.0.4	r"(.*)\s+(\w+)$"
timespan	0.0.4	r"(.*)\s+-\s+(.*)"
titlecase	0.10.0	r"[[:lower:]]"
tight	0.1.3	r"^\d+ (day|week|month|year)s?$"
tight	0.1.3	r"^\d+ (day|week|month|year)s?$"
yaml	0.2.1	r"^[-+]?(0|[1-9][0-9_]*)$"
yaml	0.2.1	r"^([-+]?)0o?([0-7_]+)$"
yaml	0.2.1	r"^([-+]?)0x([0-9a-fA-F_]+)$"
yaml	0.2.1	r"^([-+]?)0b([0-1_]+)$"
yaml	0.2.1	r"^([-+]?)(\.[0-9]+|[0-9]+(\.[0-9]*)?([eE][-+]?[0-9]+)?)$"
yaml	0.2.1	r"^[+]?(\.inf|\.Inf|\.INF)$"
yaml	0.2.1	r"^-(\.inf|\.Inf|\.INF)$"
yaml	0.2.1	r"^(\.nan|\.NaN|\.NAN)$"
yaml	0.2.1	r"^(null|Null|NULL|~)$"
yaml	0.2.1	r"^(true|True|TRUE|yes|Yes|YES)$"
yaml	0.2.1	r"^(false|False|FALSE|no|No|NO)$"
kefia	0.1.0	r"(?m)^(\S+)/(\S+) (\S+)(?: \((.*)\))?$"
risp	0.7.0	"^(\\s+|;.*?(\n|$))+"
risp	0.7.0	"^\".*?\""
risp	0.7.0	r"^[^\s\{\}()\[\]]+"
risp	0.7.0	r"^-?\d+"
ripgrep	0.8.1	"^([0-9]+)([KMG])?$"
riquid	0.0.1	r"^\w+"
riquid	0.0.1	r"^\d+"
recursive_disassembler	0.1.0	r"\A(0x)?([a-fA-F0-9]+)\z"
regex-decode	0.1.0	r"'(?P<title>[^']+)'\s+\((?P<year>\d{4})\)"
regex-decode	0.1.0	r"'(?P<title>[^']+)'\s+\((?P<year>\d{4})\)"
regex-decode	0.1.0	r"'(?P<title>[^']+)'\s+\((?P<year>\d{4})\)"
regex-decode	0.1.0	r"'(?P<title>[^']+)'\s+\((?P<year>\d{4})\)"
regex-decode	0.1.0	r"'(?P<title>[^']+)'\s+\((?P<year>\d{4})\)"
regex-decode	0.1.0	r"'(?P<title>[^']+)'\s+\((?P<year>\d{4})\)"
regex-decode	0.1.0	r"'(?P<title>[^']+)'\s+\((?P<year>\d{2})\)"
regex-decode	0.1.0	r"'(?P<title>[^']+)'\s+\((?P<year>\d{4})\)"
regex-decode	0.1.0	r"'(?P<title>[^']+)'\s+\((?P<year>\d{4})\)"
regex-decode	0.1.0	r"'(?P<title>[^']+)'\s+\((?P<year>\d{4})?\)"
regex-decode	0.1.0	r"'(?P<title>[^']+)'\s+\((?P<year>\d{4})?\)"
regex-decode	0.1.0	r"'(?P<title>[^']+)'\s+\((?P<year>\d{4})?\)"
regex-decode	0.1.0	r"'(?P<title>[^']+)'\s+\((?P<year>\d{4})?\)"
regex-decode	0.1.0	r"'(?P<title>[^']+)'\s+\((?P<year>\d{4})?\)"
regex-cache	0.1.5	"[0-9]{3}-[0-9]{3}-[0-9]{4}"
regex-cache	0.1.5	r"^\d+$"
regex-cache	0.1.5	r"^[a-z]+$"
regex-cache	0.1.5	r"^\d+$"
regex-cache	0.1.5	r"^\d+$"
regex_dfa	0.5.0	r"\d{4}-\d{2}-\d{2}"
reaper	2.0.0	r"^[0-9\p{L} _\\.]{3,16}$"
retdec	0.1.0	r"^attachment; filename=(.+)$"
renvsubst	0.1.2	r"(\\)(?P<head>\$[0-9A-Za-z_{])"
renvsubst	0.1.2	r"\$([[:word:]]+)"
renvsubst	0.1.2	r"\$\{([[:word:]]+)\}"
rexpect	0.3.0	r"'[a-z]+'"
rexpect	0.3.0	r"^\d{4}-\d{2}-\d{2}$"
rexpect	0.3.0	r"-\d{2}-"
little_boxes	1.6.0	r"(\x9B|\x1B\[)[0-?]*[ -/]*[@-~]"
libimagentrytag	0.6.0	"^[a-zA-Z]([a-zA-Z0-9_-]*)$"
libimaginteraction	0.6.0	r"^[Yy](\n?)$"
libimaginteraction	0.6.0	r"^[Nn](\n?)$"
libimagutil	0.6.0	"^(?P<KEY>([^=]*))=(.*)$"
libimagutil	0.6.0	"(.*)=(\"(?P<QVALUE>([^\"]*))\"|(?P<VALUE>(.*)))$"
linux_ip	0.1.0	r"\s+"
linux_ip	0.1.0	r"\s*[\n\r]+\s*"
linux_ip	0.1.0	r"^([0-9a-fA-F\.:/]+)\s+dev\s+([a-z0-9\.]+)\s*(.*)$"
linux_ip	0.1.0	r"^([0-9a-fA-F\.:/]+|default)\s+via\s+([a-z0-9\.:]+)\s+dev\s+([a-z0-9\.]+)\s*(.*)$"
linux_ip	0.1.0	r"^(blackhole)\s+([0-9a-fA-F\.:/]+)$"
linux_ip	0.1.0	r"^(unreachable)\s+([0-9a-fA-F\.:/]+)\s+dev\s+([a-z0-9\.]+)\s+(.*)$"
linux_ip	0.1.0	r"\s*[\n\r]+\s*"
linux_ip	0.1.0	r"^\d+:\s+([a-zA-Z0-9\.-]+)(@\S+)*:\s+(.*)$"
linux_ip	0.1.0	r"\s*link/ether\s+([a-f0-9:]+)\s+.*"
linux_ip	0.1.0	r"\s*inet[6]*\s+([0-9a-f:\./]+)\s+.*"
linky	0.1.1	r"^(.*):(\d+): [^ ]* ([^ ]*)$"
linky	0.1.1	r"[^\w -]"
limonite	0.2.1	r"^(\d{4}-\d{2}-\d{2})-(\d{3})-(.+)$"
process-queue	0.1.1	r"^[a-zA-Z]+$"
pronghorn	0.1.2	r"^\{([a-zA-Z_]+)\}$"
protocol-ftp-client	0.1.1	"(?m:^(\\d{3}) (.+)\r$)"
protocol-ftp-client	0.1.1	"\"(.+)\""
protocol-ftp-client	0.1.1	"(\\w+) [Tt]ype: (\\w+)"
protocol-ftp-client	0.1.1	"(?m:^(\\d{3})-.+\r$)"
protocol-ftp-client	0.1.1	"Entering Passive Mode \\((\\d+),(\\d+),(\\d+),(\\d+),(\\d+),(\\d+)\\)"
protocol-ftp-client	0.1.1	"(?m:^(.+)\r$)"
protocol-ftp-client	0.1.1	"^([d-])(?:[rwx-]{3}){3} +\\d+ +\\w+ +\\w+ +(\\d+) +(.+) +(.+)$"
article-date-extractor	0.1.1	r"([\./\-_]{0,1}(19|20)\d{2})[\./\-_]{0,1}(([0-3]{0,1}[0-9][\./\-_])|(\w{3,5}[\./\-_]))([0-3]{0,1}[0-9][\./\-]{0,1})"
article-date-extractor	0.1.1	r"(?i)publishdate|pubdate|timestamp|article_date|articledate|date"
arthas_plugin	0.1.1	r"type\((.*)\)"
arthas_plugin	0.1.1	r"Vec<(.*)>"
arthas_plugin	0.1.1	r"Option<(.*)>"
arthas_plugin	0.1.1	r"HashMap<[a-z0-9A-Z]+, *(.*)>"
arthas_derive	0.1.0	"Vec *< *(.*) *>"
arthas_derive	0.1.0	r"Option *< *(.*) *>"
arthas_derive	0.1.0	r"HashMap *< *[a-z0-9A-Z]+ *, *(.*) *>"
glossy_codegen	0.2.0	r"/\*.*?\*/|//.*"
glossy_codegen	0.2.0	"^\\s*#\\s*include\\s+<([:print:]+)>\\s*$"
glossy_codegen	0.2.0	"^\\s*#\\s*include\\s+\"([:print:]+)\"\\s*$"
glossy_codegen	0.2.0	r"^\s*#\s*version\s+(\d+)"
glossy_codegen	0.2.0	r"^\s*$"
gluster	1.0.1	r"(?P<addr>via \S+)"
gluster	1.0.1	r"(?P<src>src \S+)"
gl_helpers	0.1.5	r"(.*)\[\d+\]"
gl_helpers	0.1.5	r"(\d+).(\d+)"
glr-parser	0.0.1	r"(?P<c>[\\\.\+\*\?\(\)\|\[\]\{\}\^\$])"
glr-parser	0.0.1	r"^\w+$"
glr-parser	0.0.1	"'[^']+'"
hoodlum	0.5.0	r"(?m)//.*"
form-checker	0.2.2	r"^1\d{10}$"
form-checker	0.2.2	r"(?i)^[\w.%+-]+@(?:[A-Z0-9-]+\.)+[A-Z]{2,4}$"
wikibase	0.1.4	r"(?x)(?P<user_agent>[a-zA-Z\d-_]+\/[0-9\.]+)"
wikibase	0.1.4	r"(?P<user_agent>[a-zA-Z\d-_]+/[0-9\.]+)"
wifiscanner	0.3.6	r"Cell [0-9]{2,} - Address:"
wifiscanner	0.3.6	r"([0-9a-zA-Z]{1}[0-9a-zA-Z]{1}[:]{1}){5}[0-9a-zA-Z]{1}[0-9a-zA-Z]{1}"
wifiscanner	0.3.6	r"Signal level=(\d+)/100"
bbcode	1.0.2	r"(?s)\[b\](.*?)\[/b\]"
bbcode	1.0.2	r"(?s)\[i\](.*?)\[/i\]"
bbcode	1.0.2	r"(?s)\[u\](.*?)\[/u\]"
bbcode	1.0.2	r"(?s)\[s\](.*?)\[/s\]"
bbcode	1.0.2	r"(?s)\[size=(\d+)](.*?)\[/size\]"
